"Principe actif";"Forme galénique";"Classe ATC";"Libellé ATC3";"Libellé ATC4";"Goût";"Modalités de préparation";"Source des modalités";"Autre source";"Méthode d'administration si médicament écrasé, ouvert ou délité";"Alternatives galéniques";"Informations RCP, notice patient et Thériaque";"Réponses laboratoires résumées";"Date de màj";
"PONATINIB 15, 30 et 45 mg (Iclusig)";"Comprimé";"L01EA05";"Autres antinéoplasiques";"Inhibiteurs de protéine kinase";;"NE";"RCP";;;"Non";;;"18/04/2023";
"POSACONAZOLE 100 mg (Noxafil)";"Comprimé GR";"J02AC04";"Antimycosiques à usage systémique";"Dérivés triazolés";;"NE";"RCP";;;"Suspension buvable
? Adaptation posologique ?";"Non-interchangeabilité entre la suspension buvable et les comprimés : suivre leurs recommandations posologiques respectives.";;"18/04/2023";
"POTASSIUM CHLORURE 600 mg (Diffu K)";"Gélule";"A12BA01";"Potassium";"Potassium";;"O, NE";"Réponse laboratoire";;"E";"Sirop";;"UCB Pharma 24-02-2022 : gélules ouvrables si besoin, ne pas mâcher les microgranules (risque d'ulcération de l'estomac du fait de la libération de cristaux de chlorure de potassium).";"18/04/2023";
"POTASSIUM CHLORURE LP 600 et 1000 mg (Kaleorid LP)";"Comprimé LP";"A12BA01";"Potassium";"Potassium";;"NE";"RCP";;;"Sirop";"A prendre de préférence en fin de repas.";;"18/04/2023";
"PRAMIPEXOLE 0,18 et 0,7 mg (Sifrol)";"Comprimé sécable";"N04BC05";"Dopaminergiques";"Agonistes dopaminergiques";;"NE";"Réponse laboratoire";;;"Non";"A prendre pendant les repas.";"Boehringer Ingelheim 24-02-2022 : photosensible, cf. RCP";"18/04/2023";
"PRAMIPEXOLE LP 0,26 ; 0,52 ; 1,05 et 2,1 mg (Sifrol LP)";"Comprimé LP";"N04BC05";"Dopaminergiques";"Agonistes dopaminergiques";;"NE";"RCP";;;"Non";"A prendre à heure fixe.";"Boehringer Ingelheim 24-02-2022 : photosensible, cf. RCP";"18/04/2023";
"PRASUGREL 10 mg (Efient)";"Comprimé";"B01AC22";"Antithrombotiques";"Inhibiteur de l'agregation plaquettaire";"G";"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Non";;"Substipharm 26/01/2023 : cf. RCP + gout amer";"18/04/2023";
"PRAVASTATINE 10, 20 et 40 mg (Vasten)";"Comprimé sécable";"C10AA03";"Agents réduisants les lipides sériques, non associés";"Inhibiteurs de l'HMG-CoA reductase (statines)";;"NE";"Réponse laboratoire";;;"Non";"A prendre de préférence le soir.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"PRAZEPAM 10 et 40 mg (Lysanxia)";"Comprimé ou comprimé sécable";"N05BA11";"Anxiolytiques";"Dérivés des benzodiazépines";;"NE";"Réponse laboratoire";;;"Solution buvable en gouttes";;"Alfasigma 08-04-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"PRAZIQUANTEL 600 mg (Biltricide)";"Comprimé sécable";"P02BA01";"Antitrématodes";"Dérivés de la quinoléïne et apparentés";"G";"E";"RCP";;"E, J, L, C, Y";"Non";"Peut être écrasé ou désagrégé et mélangé à un liquide ou un aliment semi-solide. A prendre de préférence pendant ou en fin de repas, le soir en cas de prise unique.";;"18/04/2023";
"PRAZOSINE LP 2,5 et 5 mg (Alpress LP)";"Comprimé osmotique";"C02CA01";"Antiagrénergiques agissant en périphérie";"Alpha-bloquants";;"NE";"RCP";;;"Non";;;"18/04/2023";
"PREDNISONE 1, 5 et 20 mg (Cortancyl)";"Comprimé ou comprimé sécable";"H02AB07";"Corticoïdes à usage systémique non associés";"Glucocorticoïdes";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";"E, V";"? Adaptation posologique ? Prednisolone orodispersible";"A prendre de préférence au cours des repas.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"PREGABALINE 25, 50, 75, 100, 150, 200 et 300 (Lyrica)";"Gélule ";"N03AX16";"Antiépileptiques";"Autres antiépileptiques";"G";"O";"Réponse laboratoire";;"E, J, L, C, Y";"Solution buvable";;"Pfizer 04-08-2020 : ouverture déconseillée, mais une étude prouve la bioeq des gélules ouvertes. Mélange à de l'eau, jus de fruis ou nourriture semi-solide à la discrétion du clinicien.";"18/04/2023";
"PRIMIDONE 250 mg (Mysoline)";"Comprimé sécable";"N03AA03";"Antiépileptiques";"Barbituriques et dérivés";;"E";"RCP";;"E";"Non";"A prendre à heure fixe.";;"18/04/2023";
"PRISTINAMYCINE 250 et 500 mg (Pyostacine)";"Comprimé sécable";"J01FG01";"Macrolides, lincosamides et streptogramines";"Streptogramines";;"E";"RCP";;"E, J, L, C, Y";"Non";"Peut être écrasé dans un peu de lait ou un aliment sucré (confiture). A prendre pendant les repas.";"Sanofi 23-03-2022 : cf. RCP";"18/04/2023";
"PROBENECIDE 500 mg (Santuril)";"Comprimé sécable";"M04AB01";"Médicaments contre la goutte";"Uricosuriques";;"NE";"RCP";;;"Non";"A prendre pendant les repas.";;"18/04/2023";
"PROCARBAZINE 50 mg (Natulan)";"Gélule";"L01XB01";"Autres antinéoplasiques";"Méthylhydrazines";;"NO";"RCP";;;"Non";"PA cytotoxique. Boire abondamment pendant la prise.";;"18/04/2023";
"PROGESTERONE 100 et 200 mg (Utrogestan)";"Capsule molle";"G03DA04";"Progestatifs";"Dérivés pregnadiène";;"NO";"Galénique";;;"Non";"A prendre à distance des repas, de préférence le soir au coucher. Peut être également administré par voie vaginale.";;"18/04/2023";
"PROMETHAZINE 25 mg (Phenergan)";"Comprimé";"R06AD02";"Antihistaminiques à usage systémique";"Dérivés de la phénothiazine";;"NE";"Réponse laboratoire";;;"Non";"A prendre de préférence le soir (effet sédatif).";"DB Pharma 21-02-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"PROPAFENONE 300 mg (Rythmol)";"Comprimé sécable";"C01BC03";"Antiarythmiques de classe I et III";"Antiarythmiques, classe Ic";"G";"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Non";"A prendre après les repas. Eviter le jus de pamplemousse.";"Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"PROPERICIAZINE 10 mg (Neuleptil)";"Gélule";"N05AC01";"Antipsychotiques";"Phénothiazines de structure pipéridinique";;"NO";"Réponse laboratoire";;;"Solution buvable en gouttes";;"Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude";"18/04/2023";
"PROPRANOLOL 40 mg (génériques)";"Comprimé sécable";"C07AA05";"Bêta-bloquants";"Bêta-bloquants non sélectifs";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Solution buvable";;"Biogaran 19-08-2020 : écrasement déconseillé car pas d'études";"18/04/2023";
"PROPRANOLOL LP 80 et 160 mg (génériques)";"Gélule LP";"C07AA05";"Bêta-bloquants";"Bêta-bloquants non sélectifs";;"NO";"Réponse laboratoire";"Ouvrable selon HUG 03/2023";;"? Non LP ?
Solution buvable";"A prendre de préférence le matin.";"Teva 01-03-2022 : ouverture déconseillée car pas d'étude";"18/04/2023";
"PROPYLTHIOURACILE 50 mg (Propylex)";"Comprimé";"H03BA02";"Antithyroïdiens";"Thiouraciles";"G";"E";"Réponse laboratoire";;"E, V";"Non";;"HAC Pharma 22-02-2022 : écrasement possible si besoin, avec administration immédiate et protection appropriée de l'opérateur";"18/04/2023";
"PYRAZINAMIDE 500 mg (Pirilene)";"Comprimé sécable";"J04AK01";"Antituberculeux";"Autres antituberculeux";"G";"E";"Thériaque 03/2023";"Ecrasable selon HUG 03/2023";"E, J, L, C, Y";"Non";;"Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude";"18/04/2023";
"PYRIDOSTIGMINE 60 mg (Mestinon)";"Comprimé";"N07AA02";"Parasympathomimétiques";"Anticholinesterasiques";;"NE";"Réponse laboratoire";"Ouvrable selon HUG 03/2023";"E, V";"Sirop (AAC)";;"Viatris 17-02-2023 : nous ne pouvons vous garantir la bonne stabilité ou biodisponibilité du médicament écrasable.";"18/04/2023";
"PYRIDOSTIGMINE LP 180 mg (Mestinon LP)";"Comprimé LP";"N07AA02";"Parasympathomimétiques";"Anticholinesterasiques";;"NE";"Thériaque 03/2023";;;"? Non LP ?
Sirop (AAC)";"A ne pas prendre en position couchée.";;"18/04/2023";
"PYRIDOXINE / THIAMINE 35/250 et 50/250 mg (Vitamine B1 B6, Princi B)";"Comprimé";"A11DB";"Vitamine B1 associée ou non avec les vitamines B6 et/ou B12";"Vitamine B1 en association avec les vitamines B6 et/ou B12";;"?";;;;"Non";;"En attente (SERP)";"18/04/2023";
"PYRIDOXINE 250 mg (Becilan)";"Comprimé sécable";"A11HA02";"Autres préparations à base de vitamines seules";"Autres préparations à base de vitamines seules";;"NE";"Réponse laboratoire";;;"Non";;"DB Pharma 21-02-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"PYRIMETHAMINE 50 mg (Malocide)";"Comprimé";"P01BD01";"Antipaludéens";"Diaminopyrimidines";;"NE";"Réponse laboratoire";;;"Non";;"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"QUETIAPINE LP 50, 300 et 400mg (Xeroquel)";"Comprimé LP";"N05AH04";"Antipsychotiques";"diazépines, oxazépines et thiazépines";;"NE";"RCP";;;"Non";;"RCP : ""Les comprimés doivent être avalés entiers et ne doivent pas être divisés, mâchés ou écrasés""";"28/03/2024";
"QUINAPRIL / HYDROCHLOROTHIAZIDE 20/12,5 mg (Acuilix)";"Comprimé sécable";"C09BA06";"Inhibiteurs de l'enzyme de conversion de l'angiotensine en associations";"Inhibiteurs de l'enzyme de conversion de l'angiotensine et diurétiques";"G";"NE";"Réponse laboratoire";;;;;"Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"QUINAPRIL 5 et 20 mg (Acuitel)";"Comprimé sécable";"C09AA06";"Inhibiteurs de l'enzyme de conversion de l'angiotensine (IEC), sauf associations";"Inhibiteurs de l'enzyme de conversion de l'angiotensine sans association";;"NE";"Réponse laboratoire";;;"Non";;"Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"QUININE / QUINIDINE / CINCHONINE / CINCHONIDINE 125 et 500 mg (Quinimax) ";"Comprimé sécable";"P01BC01";"Antipaludéens";"Alcaloïdes de la quinine";"G";"NE";"Réponse laboratoire";;;"Non";"Eviter le jus de pamplemousse.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"RABEPRAZOLE 10 et 20 mg (Pariet)";"Comprimé GR";"A02BC04";"Médicaments pour ulcère peptidique et le reflux gastro-oesophagien";"Inhibiteurs de la pompe à protons";;"NE";"RCP";;;"Non";"A prendre le matin avant les repas (uniquement pour favoriser l'observance : ni l'heure de prise ni l'alimentation n'a d'influence sur l'activité du Rabéprazole)";"Janssen 09-03-2022 : non écrasable car PA instable en milieu acide.";"18/04/2023";
"RACECADOTRIL 100 mg (Tiorfan, Diarfix, Tiorfast)";"Gélule";"A07XA04";"Autres antidiarrhéiques";"Autres antidiarrhéiques";"G";"?";;;;"Poudre orale, suspension buvable";;"En attente (Bioprojet Pharma)";"18/04/2023";
"RACECADOTRIL 175 mg (Tiorfanor)";"Comprimé";"A07XA04";"Autres antidiarrhéiques";"Autres antidiarrhéiques";"G";"?";;;;"Poudre orale, suspension buvable";;"En attente (Bioprojet Pharma)";"18/04/2023";
"RALTEGRAVIR 400 et 600 mg (Isentress)";"Comprimé";"J05AJ01";"Antiviraux à action directe";"Inhibiteur de l'integrase";;"NE";"RCP";;;"Comprimés à croquer, granulés pour suspension buvable";"Non-interchangeabilité entre les comprimés, comprimés à croquer et granulés : suivre leurs recommandations posologiques respectives.";;"18/04/2023";
"RAMIPRIL / HYDROCHLOROTHIAZIDE 5/12,5 mg (Cotriatec)";"Comprimé";"C09BA05";"Inhibiteurs de l'enzyme de conversion de l'angiotensine en associations";"Inhibiteurs de l'enzyme de conversion de l'angiotensine et diurétiques";"G";"NE";"RCP";;;"Non";"A prendre à heure fixe, de préférence le matin.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"RAMIPRIL 1,25 ; 2, 5 et 10 mg (Triatec)";"Comprimé ou comprimé sécable";"C09AA05";"Inhibiteurs de l'enzyme de conversion de l'angiotensine (IEC), sauf associations";"Inhibiteurs de l'enzyme de conversion de l'angiotensine sans association";;"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Non";"A prendre à heure fixe.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"REPAGLINIDE 0,5 ; 1 et 2 mg (Novonorm)";"Comprimé";"A10BX02";"Hypoglycémiants autres que les insulines";"Autres médicaments hypoglycémiant autres que les insulines";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre moins de 30 min avant les repas.";"Novo Nordisk 01-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"RIFABUTINE 150 mg (Ansatipine)";"Gélule";"J04AB04";"Antituberculeux";"Antibiotiques";;"NO";"Notice patient";"Ouvrable selon laboratoire";"C";"Non";;"Serb 22-03-2022 : peut être ouvert et mélangé à de la compote de pommes.";"18/04/2023";
"RIFAMPICINE 300 mg (Rifadine)";"Gélule";"J04AB02";"Antituberculeux";"Antibiotiques";;"NO";"Réponse laboratoire";;;"Suspension buvable";"A prendre de préférence ? 30 min avant les repas.";"Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude";"19/09/2023";
"RILMENIDINE 1 mg (Hyperium)";"Comprimé";"C02AC06";"Antiadrénergiques agissant sur le système nerveux central";"Agonistes des récepteurs de l'imidazoline";;"NE";"Réponse laboratoire";;;"Non";"A prendre le matin.";"Servier 28-02-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"RILPIVIRINE 25 mg (Edurant)";"Comprimé";"J05AG05";"Antiviraux à action directe";"Inhibiteurs de la transcriptase inverse non nucléosidique";;"NE";"RCP";;;"Non";"A prendre pendant les repas. Eviter le jus de pamplemousse.";"Janssen 09-03-2022 : cf. RCP";"18/04/2023";
"RILUZOLE 50 mg (Rilutek)";"Comprimé";"N07XX02";"Autres médicaments du systeme nerveux";"Autres médicaments du systeme nerveux";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Suspension buvable";"A prendre à heure fixe.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"RISPERIDONE 1, 2 et 4 mg (Risperdal)";"Comprimé sécable";"N05AX08";"Antipsychotiques";"Autres antipsychotiques";"G";"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Comprimés orodispersibles, solution buvable";;"Janssen 12-04-2023 : écrasement déconseillé car pas d'étude";"18/04/2023";
"RITONAVIR 100 mg (Norvir)";"Comprimé";"J05AE03";"Antiviraux à action directe";"Inhibiteurs de protéase";"G";"NE";"RCP";;;"Suspension buvable";"A prendre pendant les repas.";;"18/04/2023";
"RIVAROXABAN 10, 15 et 20 mg (Xarelto)";"Comprimé";"B01AF01";"Antithrombotiques";"Inhibiteurs directs du facteur Xa";;"E";"RCP";;"E, C, V";"Granulés pour suspension buvable (AAP)";"Peut être écrasé et mélangé à de l'eau ou de la compote de pommes. Administration immédiate.";;"18/04/2023";
"RIVASTIGMINE 1,5 ; 3, 4,5 et 6 mg (Exelon)";"Gélule";"N06DA03";"Médicaments contre la démence";"Anticholinestérasiques";;"NO";"RCP";;;"Solution buvable, dispositif transdermique";"A prendre pendant les repas.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"RIZATRIPTAN 5 et 10 mg (Maxalt)";"Comprimé";"N02CC04";"Antimigraineux";"Agonistes sélectifs des récepteurs 5-HT1";;"?";;;;"Comprimés orodispersibles";"A prendre pendant la crise de migraine uniquement, de préférence le plus tôt possible.";"En attente (Organon)";"18/04/2023";
"ROPINIROLE 0,25 ; 0,5 ; 1, 2 et 5 mg (Requip)";"Comprimé";"N04BC04";"Dopaminergiques";"Agonistes dopaminergiques";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre de préférence pendant les repas.";"GSK 07-10-2020 : écrasement déconseillé car pas d'étude. Photosensible et hydrosoluble.";"18/04/2023";
"ROPINIROLE LP 2, 4 et 8 mg (Requip LP)";"Comprimé LP";"N04BC04";"Dopaminergiques";"Agonistes dopaminergiques";;"NE";"Réponse laboratoire";;;"Non";"A prendre à heure fixe.";"GSK 10-07-2020 : écrasement déconseillé car pas d'étude. Photosensible et hydrosoluble.";"18/04/2023";
"ROSUVASTATINE 5, 10 et 20 mg (Crestor)";"Comprimé";"C10AA07";"Agents réduisants les lipides sériques, non associés";"Inhibiteurs de l'HMG-CoA reductase (statines)";;"E";"Notice patient";;"E";"Non";"A prendre de préférence à heure fixe.";;"18/04/2023";
"ROXITHROMYCINE 100 et 150 mg (Rulid)";"Comprimé";"J01FA06";"Macrolides, lincosamides et streptogramines";"Macrolides";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Comprimés pour suspension buvable (50 mg)";"A prendre de préférence avant les repas.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"RUFINAMIDE 100, 200 et 400 mg (Inovelon)";"Comprimé";"N03AF03";"Antiépileptiques";"Dérivés du carboxamide";;"E";"RCP";;"E";"Suspension buvable";"Peut être écrasé et administré avec de l'eau. A prendre pendant les repas.";;"18/04/2023";
"RUXOLITINIB 5, 10, 15 et 20 mg (Jakavi)";"Comprimé";"L01EJ01";"Autres antinéoplasiques";"Inhibiteurs de protéine kinase";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre à heure fixe.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"SACCHAROMYCES BOULARDII 50 et 200 mg (Ultra-levure)";"Gélule";"A07FA02";"Micro-organismes antidiarrhéiques";"Micro-organismes antidiarrhéiques";"G";"?";"Réponse laboratoire";;"E, V";"Poudre pour suspension buvable";"Ne pas ouvrir les gélules dans l'environnement d'un patient immunodéprimé ou porteur d'un cathéter veineux (risque de contamination).";"Biocodex 17-02-2022 : ouvrable si administration immédiate, sauf cas particuliers (cf. RCP). Ne pas dissoudre dans un liquide réfrigéré. Sensible à l'humidité.";"18/04/2023";
"SACCHAROMYCES CEREVISIAE / CHARBON ACTIVE (Carbolevure adultes)";"Gélule";"A07BA51";"Absorbants intestinaux";"Préparations à base de charbon activé";;"NO";"Notice patient";;;"Non";"A prendre de préférence en dehors des repas.";"Pierre Fabre 21-02-2022 : ouverture déconseillée car pas d'étude.";"18/04/2023";
"SAXAGLIPTINE / METFORMINE 2,5/1000 mg (Komboglyze)";"Comprimé";"A10BD10";"Hypoglycémiants autres que les insulines";"Association de médicaments oraux réduisant la glycémie";"G";"NE";"Notice patient";;;"Non";"A prendre pendant les repas.";"AstraZeneca 06-04-2022 : écrasement déconseillé car pas d'étude. Goût métallique.";"18/04/2023";
"SAXAGLIPTINE 5 mg (Onglyza)";"Comprimé";"A10BH03";"Hypoglycémiants autres que les insulines";"Inhibiteurs de la dipeptidyl peptidase-4 (DPP-4)";;"NE";"RCP";;;"Non";"A prendre de préférence à heure fixe.";"AstraZeneca 06-04-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"SELEGILINE 5 mg (Deprenyl)";"Comprimé sécable";"N04BD01";"Dopaminergiques";"Inhibiteurs de la monoamine oxydase de type B (IMAO-B)";;"NE";"Thériaque 03/2023";;;"Dispositif transdermique (AAC)";"A prendre pendant les repas.";;"18/04/2023";
"SERTRALINE 25 et 50 mg (Zoloft)";"Gélule";"N06AB06";"Antidépresseurs";"Inhibiteurs sélectifs de la recapture de la sérotonine (ISRS)";;"NO";"Réponse laboratoire";;;"Non";"A prendre pendant les repas.";"Pfizer 04-08-2020 : ouverture déconseillé car hors-AMM. Pas d'étude.";"18/04/2023";
"SEVELAMER 800 mg (Renvela)";"Comprimé";"V03AE02";"Tous autres médicaments";"Médicaments de l'hyperkaliémie et l'hyperphosphorémie";;"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Poudre pour suspension buvable";"A prendre pendant les repas.";;"19/09/2023";
"SILDENAFIL 20, 25, 50 et 100 mg (Revatio, Viagra)";"Comprimé";"G04BE03";"Autres médicaments urologiques, antispasmodiques inclus";"Médicaments utilisés dans les troubles de l'erection";;"NE";"Thériaque 03/2023";"Revatio : ecrasable selon HUG 03/2023";;"Poudre pour suspension buvable, comprimés orodispersibles";"A prendre environ 1h avant l'activité. Eviter le jus de pamplemousse. La poudre pour suspension buvable est destinée à traitée l'HTAP";;"18/04/2023";
"SILODOSINE 4 et 8mg
(Urorec, Silodyx)";"Gélule";"G04CA04";"Médicaments urologiques";"Alpha-bloquants";;"NO";"RCP";"Urorec : ouvrable selon HUG 03/2023";;"Non";"A prendre pendant les repas, de préférence à heure fixe.";"En attente (Bouchara-Recordati) 05/2024";"22/05/2024";
"SIMVASTATINE 20 et 40 mg (Zocor)";"Comprimé ou comprimé sécable";"C10AA01";"Agents réduisants les lipides sériques, non associés";"Inhibiteurs de l'HMG-CoA reductase (statines)";"G";"E";"Réponse laboratoire";;"E, V";"Non";"A prendre le soir. Eviter le jus de pamplemousse.";"MSD 19-09-2020 : écrasement possible si administration immédiate. Le pelliculage masque le goût amer.";"18/04/2023";
"SIROLIMUS 0,5 ; 1 et 2 mg (Rapamune)";"Comprimé";"L04AA10";"Immunosuppresseurs";"Immunosuppresseurs sélectifs";;"NE";"RCP";;;"Solution buvable
? Adaptation posologique ?";"A prendre pendant ou hors des repas, mais de façon constante. Eviter le jus de pamplemousse.";;"18/04/2023";
"SITAGLIPTINE 50 et 100 mg (Januvia, Xelevia)";"Comprimé";"A10BH01";"Hypoglycémiants autres que les insulines";"Inhibiteurs de la dipeptidyl peptidase-4 (DPP-4)";;"?";;"Januvia : ecrasable selon HUG 03/2023";;"Non";;"En attente (MSD)";"18/04/2023";
"SOFOSBUVIR 400 mg (Sovaldi)";"Comprimé";"J05AP08";"Antiviraux à action directe";"Autres antiviraux";"G";"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Non";"A prendre pendant les repas. Mauvais goût.";"Gilead 02-03-2022 : écrasement et fractionnement déconseillés car pas d'étude et goût très amer si broyé.";"18/04/2023";
"SOLIFENACINE 5 et 10 mg (Vesicare)";"Comprimé";"G04BD08";"Autres médicaments urologiques, antispasmodiques inclus";"Antispasmodiques urinaires";"G";"NE";"RCP";;;"Suspension buvable";;;"18/04/2023";
"SOTALOL 80 et 160 mg (Sotalex)";"Comprimé sécable";"C07AA07";"Bêta-bloquants";"Bêta-bloquants non sélectifs";;"NE";"Réponse laboratoire";"Ecrasable selon laboratoire";"E, J, L";"Non";"A prendre de préférence le matin.";"Cheplapharm 14-03-2022 : écrasement possible, produit soluble dans l'eau. ";"18/04/2023";
"SPIRAMYCINE 3 MUI (Rovamycine)";"Comprimé";"J01FA02";"Macrolides, lincosamides et streptogramines";"Macrolides";;"NE";"RCP";;;"Non";"A prendre pendant les repas.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"SPIRONOLACTONE 25, 50 et 75 mg (Aldactone)";"Comprimé sécable";"C03DA01";"Diurétiques épargneurs potassiques";"Antagonistes de l'aldostérone";"G";"E";"RCP";;"E, J, L";"Non";"Peut être écrasé et mis en suspension, de préférence dans un liquide sucré.";"Pfizer 04-08-2020 : cf. RCP. Très peu hydrosoluble. Goût amer.";"18/04/2023";
"SUCRALFATE 1 g (Keal)";"Comprimé sécable";"A02BX02";"Médicaments pour ulcère peptidique et le reflux gastro-oesophagien";"Anticholinergiques synthétiques, esters d'amines tertiaires";;"E";"Notice patient";;"E";"Suspension buvable";"Peut être écrasé dans un peu d'eau.";;"18/04/2023";
"SULBUTIAMINE 200 mg (Arcalion)";"Comprimé";"A11DA02";"Vitamine B1 associée ou non avec les vitamines B6 et/ou B12";"Vitamine B1, non associée";;"NE";"RCP";;;"Non";"A prendre pendant les repas le matin et le midi.";"Servier 28-02-2022 : cf. RCP";"18/04/2023";
"SULFADIAZINE 500 mg (Adiazine)";"Comprimé";"J01EC02";"Sulfamides et triméthoprime";"Sulfamides de demi-vie intermediaire";"G";"E";"RCP";;"E, J, L, C, Y";"Non";"Peut être écrasé et mélangé à un aliment (jus de fruit, yaourt, purée...). Goût amer.";;"18/04/2023";
"SULFAMETHOXAZOLE / TRIMETHOPRIME 400/80 et 800/160 mg (Cotrimoxazole, Bactrim, Bactrim Forte)";"Comprimé ";"J01EE01";"Sulfamides et triméthoprime";"Associations de sulfamidés et de triméthoprime, y compris des dérivés";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Suspension buvable";"A prendre de préférence pendant les repas.";"Eumedica 02-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"SULFASALAZINE 500 mg (Salazopyrine)";"Comprimé GR";"A07EC01";"Anti-inflammatoires intestinaux";"Acide aminosalicylique et  dérivés";;"NE";"RCP";;;"Non";"A prendre de préférence après les repas.";"Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"SULFATE FERREUX / ACIDE ASCORBIQUE 50/30 mg (Timoferol)";"Comprimé";"B03AA07";"Préparations martiales";"Préparations orales de fer bivalent";"G";"?";;;;"Solution buvable de sulfate ferreux seul (Tardyféron)";"A prendre de préférence le matin avant les repas, ou pendant selon la tolérance digestive. Eviter le thé.";"En attente (Elerte)";"19/09/2023";
"SULFATE FERREUX / ACIDE ASCORBIQUE 50/30 mg (Timoferol)";"Gélule";"B03AA07";"Préparations martiales";"Préparations orales de fer bivalent";"G";"NO";"Thériaque 03/2023";;;"Solution buvable de sulfate ferreux seul (Tardyféron)";"A prendre de préférence le matin avant les repas, ou pendant selon la tolérance digestive. Eviter le thé.";;"18/04/2023";
"SULFATE FERREUX / ACIDE FOLIQUE 50 mg / 350 µg (Tardyferon B9)";"Comprimé";"B03AD03";"Préparations martiales";" Fer associé à l'acide folique";"G";"NE";"RCP";;;"Solution buvable de sulfate ferreux seul (Tardyféron)";"A prendre de préférence avant les repas, ou pendant selon la tolérance digestive. Eviter le thé.";;"18/04/2023";
"SULFATE FERREUX 50 et 80 mg (Tardyferon)";"Comprimé";"B03AA07";"Préparations martiales";"Préparations orales de fer bivalent";"G";"NE";"RCP";;;"Solution buvable";"A prendre de préférence avant les repas, ou pendant selon la tolérance digestive. Eviter le thé.";;"18/04/2023";
"SULINDAC 100 et 200 mg (Arthrocine)";"Comprimé ou comprimé sécable";"M01AB02";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Dérivés de l'acide acétique et apparentés";;"NE";"RCP";;;"Non";"A prendre pendant les repas.";;"18/04/2023";
"SULPIRIDE 200 mg (Dogmatil)";"Comprimé sécable";"N05AL01";"Antipsychotiques";"Benzamides";;"NE";"Réponse laboratoire";;;"Solution buvable";;"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"SULPIRIDE 50 mg (Dogmatil)";"Gélule";"N05AL01";"Antipsychotiques";"Benzamides";;"NO";"Réponse laboratoire";;;"Solution buvable";;"Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude";"18/04/2023";
"SUMATRIPTAN 50 mg (Imigrane)";"Comprimé";"N02CC01";"Antimigraineux";"Agonistes sélectifs des récepteurs 5-HT1";"G";"D";"RCP";"Ecrasable selon HUG 03/2023";"E";"Solution pour pulvérisation nasale";"Peut être dissout sans l'écraser dans un peu d'eau. A prendre pendant la crise de migraine uniquement, de préférence le plus tôt possible. Goût amer.";;"18/04/2023";
